  Yr, Mn,    Date,      Date,     CO2
1958,1,21200,1958.0411,-99.99
1958,2,21231,1958.126,-99.99
1958,3,21259,1958.2027,315.7
1958,4,21290,1958.2877,317.45
1958,5,21320,1958.3699,317.51
1958,6,21351,1958.4548,-99.99
1958,7,21381,1958.537,315.86
1958,8,21412,1958.6219,314.93
1958,9,21443,1958.7068,313.2
1958,10,21473,1958.789,-99.99
1958,11,21504,1958.874,313.33
1958,12,21534,1958.9562,314.67
1959,1,21565,1959.0411,315.58
1959,2,21596,1959.126,316.48
1959,3,21624,1959.2027,316.65
1959,4,21655,1959.2877,317.72
1959,5,21685,1959.3699,318.29
1959,6,21716,1959.4548,318.15
1959,7,21746,1959.537,316.54
1959,8,21777,1959.6219,314.8
1959,9,21808,1959.7068,313.84
1959,10,21838,1959.789,313.33
1959,11,21869,1959.874,314.81
1959,12,21899,1959.9562,315.58
1960,1,21930,1960.041,316.43
1960,2,21961,1960.1257,316.98
1960,3,21990,1960.2049,317.58
1960,4,22021,1960.2896,319.03
1960,5,22051,1960.3716,320.04
1960,6,22082,1960.4563,319.59
1960,7,22112,1960.5383,318.18
1960,8,22143,1960.623,315.9
1960,9,22174,1960.7077,314.17
1960,10,22204,1960.7896,313.83
1960,11,22235,1960.8743,315
1960,12,22265,1960.9563,316.19
1961,1,22296,1961.0411,316.89
1961,2,22327,1961.126,317.7
1961,3,22355,1961.2027,318.54
1961,4,22386,1961.2877,319.48
1961,5,22416,1961.3699,320.58
1961,6,22447,1961.4548,319.77
1961,7,22477,1961.537,318.57
1961,8,22508,1961.6219,316.79
1961,9,22539,1961.7068,314.99
1961,10,22569,1961.789,315.31
1961,11,22600,1961.874,316.1
1961,12,22630,1961.9562,317.01
1962,1,22661,1962.0411,317.94
1962,2,22692,1962.126,318.55
1962,3,22720,1962.2027,319.68
1962,4,22751,1962.2877,320.57
1962,5,22781,1962.3699,321.02
1962,6,22812,1962.4548,320.62
1962,7,22842,1962.537,319.61
1962,8,22873,1962.6219,317.4
1962,9,22904,1962.7068,316.25
1962,10,22934,1962.789,315.42
1962,11,22965,1962.874,316.69
1962,12,22995,1962.9562,317.7
1963,1,23026,1963.0411,318.74
1963,2,23057,1963.126,319.07
1963,3,23085,1963.2027,319.86
1963,4,23116,1963.2877,321.38
1963,5,23146,1963.3699,322.25
1963,6,23177,1963.4548,321.48
1963,7,23207,1963.537,319.74
1963,8,23238,1963.6219,317.77
1963,9,23269,1963.7068,316.21
1963,10,23299,1963.789,315.99
1963,11,23330,1963.874,317.07
1963,12,23360,1963.9562,318.35
1964,1,23391,1964.041,319.57
1964,2,23422,1964.1257,-99.99
1964,3,23451,1964.2049,-99.99
1964,4,23482,1964.2896,-99.99
1964,5,23512,1964.3716,322.26
1964,6,23543,1964.4563,321.89
1964,7,23573,1964.5383,320.44
1964,8,23604,1964.623,318.69
1964,9,23635,1964.7077,316.7
1964,10,23665,1964.7896,316.87
1964,11,23696,1964.8743,317.68
1964,12,23726,1964.9563,318.71
1965,1,23757,1965.0411,319.44
1965,2,23788,1965.126,320.44
1965,3,23816,1965.2027,320.89
1965,4,23847,1965.2877,322.14
1965,5,23877,1965.3699,322.17
1965,6,23908,1965.4548,321.87
1965,7,23938,1965.537,321.21
1965,8,23969,1965.6219,318.87
1965,9,24000,1965.7068,317.81
1965,10,24030,1965.789,317.3
1965,11,24061,1965.874,318.87
1965,12,24091,1965.9562,319.42
1966,1,24122,1966.0411,320.62
1966,2,24153,1966.126,321.6
1966,3,24181,1966.2027,322.39
1966,4,24212,1966.2877,323.7
1966,5,24242,1966.3699,324.08
1966,6,24273,1966.4548,323.75
1966,7,24303,1966.537,322.38
1966,8,24334,1966.6219,320.36
1966,9,24365,1966.7068,318.64
1966,10,24395,1966.789,318.1
1966,11,24426,1966.874,319.78
1966,12,24456,1966.9562,321.03
1967,1,24487,1967.0411,322.33
1967,2,24518,1967.126,322.5
1967,3,24546,1967.2027,323.04
1967,4,24577,1967.2877,324.42
1967,5,24607,1967.3699,325
1967,6,24638,1967.4548,324.09
1967,7,24668,1967.537,322.54
1967,8,24699,1967.6219,320.92
1967,9,24730,1967.7068,319.25
1967,10,24760,1967.789,319.39
1967,11,24791,1967.874,320.73
1967,12,24821,1967.9562,321.96
1968,1,24852,1968.041,322.57
1968,2,24883,1968.1257,323.15
1968,3,24912,1968.2049,323.89
1968,4,24943,1968.2896,325.02
1968,5,24973,1968.3716,325.57
1968,6,25004,1968.4563,325.36
1968,7,25034,1968.5383,324.14
1968,8,25065,1968.623,322.11
1968,9,25096,1968.7077,320.33
1968,10,25126,1968.7896,320.25
1968,11,25157,1968.8743,321.32
1968,12,25187,1968.9563,322.89
1969,1,25218,1969.0411,324
1969,2,25249,1969.126,324.42
1969,3,25277,1969.2027,325.63
1969,4,25308,1969.2877,326.66
1969,5,25338,1969.3699,327.38
1969,6,25369,1969.4548,326.71
1969,7,25399,1969.537,325.88
1969,8,25430,1969.6219,323.66
1969,9,25461,1969.7068,322.38
1969,10,25491,1969.789,321.78
1969,11,25522,1969.874,322.86
1969,12,25552,1969.9562,324.12
1970,1,25583,1970.0411,325.06
1970,2,25614,1970.126,325.98
1970,3,25642,1970.2027,326.93
1970,4,25673,1970.2877,328.13
1970,5,25703,1970.3699,328.08
1970,6,25734,1970.4548,327.67
1970,7,25764,1970.537,326.34
1970,8,25795,1970.6219,324.69
1970,9,25826,1970.7068,323.1
1970,10,25856,1970.789,323.06
1970,11,25887,1970.874,324.01
1970,12,25917,1970.9562,325.13
1971,1,25948,1971.0411,326.17
1971,2,25979,1971.126,326.68
1971,3,26007,1971.2027,327.17
1971,4,26038,1971.2877,327.79
1971,5,26068,1971.3699,328.93
1971,6,26099,1971.4548,328.57
1971,7,26129,1971.537,327.36
1971,8,26160,1971.6219,325.43
1971,9,26191,1971.7068,323.36
1971,10,26221,1971.789,323.56
1971,11,26252,1971.874,324.8
1971,12,26282,1971.9562,326.01
1972,1,26313,1972.041,326.77
1972,2,26344,1972.1257,327.63
1972,3,26373,1972.2049,327.75
1972,4,26404,1972.2896,329.72
1972,5,26434,1972.3716,330.07
1972,6,26465,1972.4563,329.09
1972,7,26495,1972.5383,328.04
1972,8,26526,1972.623,326.32
1972,9,26557,1972.7077,324.84
1972,10,26587,1972.7896,325.2
1972,11,26618,1972.8743,326.5
1972,12,26648,1972.9563,327.55
1973,1,26679,1973.0411,328.55
1973,2,26710,1973.126,329.56
1973,3,26738,1973.2027,330.3
1973,4,26769,1973.2877,331.5
1973,5,26799,1973.3699,332.48
1973,6,26830,1973.4548,332.07
1973,7,26860,1973.537,330.87
1973,8,26891,1973.6219,329.31
1973,9,26922,1973.7068,327.51
1973,10,26952,1973.789,327.18
1973,11,26983,1973.874,328.16
1973,12,27013,1973.9562,328.64
1974,1,27044,1974.0411,329.35
1974,2,27075,1974.126,330.71
1974,3,27103,1974.2027,331.48
1974,4,27134,1974.2877,332.65
1974,5,27164,1974.3699,333.09
1974,6,27195,1974.4548,332.25
1974,7,27225,1974.537,331.18
1974,8,27256,1974.6219,329.39
1974,9,27287,1974.7068,327.43
1974,10,27317,1974.789,327.37
1974,11,27348,1974.874,328.46
1974,12,27378,1974.9562,329.57
1975,1,27409,1975.0411,330.4
1975,2,27440,1975.126,331.4
1975,3,27468,1975.2027,332.04
1975,4,27499,1975.2877,333.31
1975,5,27529,1975.3699,333.97
1975,6,27560,1975.4548,333.6
1975,7,27590,1975.537,331.9
1975,8,27621,1975.6219,330.06
1975,9,27652,1975.7068,328.56
1975,10,27682,1975.789,328.34
1975,11,27713,1975.874,329.49
1975,12,27743,1975.9562,330.76
1976,1,27774,1976.041,331.75
1976,2,27805,1976.1257,332.56
1976,3,27834,1976.2049,333.5
1976,4,27865,1976.2896,334.58
1976,5,27895,1976.3716,334.88
1976,6,27926,1976.4563,334.33
1976,7,27956,1976.5383,333.05
1976,8,27987,1976.623,330.94
1976,9,28018,1976.7077,329.3
1976,10,28048,1976.7896,328.94
1976,11,28079,1976.8743,330.31
1976,12,28109,1976.9563,331.68
1977,1,28140,1977.0411,332.93
1977,2,28171,1977.126,333.42
1977,3,28199,1977.2027,334.7
1977,4,28230,1977.2877,336.07
1977,5,28260,1977.3699,336.75
1977,6,28291,1977.4548,336.27
1977,7,28321,1977.537,334.92
1977,8,28352,1977.6219,332.75
1977,9,28383,1977.7068,331.59
1977,10,28413,1977.789,331.16
1977,11,28444,1977.874,332.4
1977,12,28474,1977.9562,333.85
1978,1,28505,1978.0411,334.97
1978,2,28536,1978.126,335.39
1978,3,28564,1978.2027,336.64
1978,4,28595,1978.2877,337.76
1978,5,28625,1978.3699,338.01
1978,6,28656,1978.4548,337.89
1978,7,28686,1978.537,336.54
1978,8,28717,1978.6219,334.68
1978,9,28748,1978.7068,332.76
1978,10,28778,1978.789,332.54
1978,11,28809,1978.874,333.92
1978,12,28839,1978.9562,334.95
1979,1,28870,1979.0411,336.23
1979,2,28901,1979.126,336.76
1979,3,28929,1979.2027,337.96
1979,4,28960,1979.2877,338.88
1979,5,28990,1979.3699,339.47
1979,6,29021,1979.4548,339.29
1979,7,29051,1979.537,337.73
1979,8,29082,1979.6219,336.09
1979,9,29113,1979.7068,333.91
1979,10,29143,1979.789,333.86
1979,11,29174,1979.874,335.29
1979,12,29204,1979.9562,336.73
1980,1,29235,1980.041,338.01
1980,2,29266,1980.1257,338.36
1980,3,29295,1980.2049,340.07
1980,4,29326,1980.2896,340.76
1980,5,29356,1980.3716,341.47
1980,6,29387,1980.4563,341.17
1980,7,29417,1980.5383,339.56
1980,8,29448,1980.623,337.6
1980,9,29479,1980.7077,335.88
1980,10,29509,1980.7896,336.02
1980,11,29540,1980.8743,337.1
1980,12,29570,1980.9563,338.21
1981,1,29601,1981.0411,339.24
1981,2,29632,1981.126,340.48
1981,3,29660,1981.2027,341.38
1981,4,29691,1981.2877,342.5
1981,5,29721,1981.3699,342.91
1981,6,29752,1981.4548,342.25
1981,7,29782,1981.537,340.49
1981,8,29813,1981.6219,338.43
1981,9,29844,1981.7068,336.69
1981,10,29874,1981.789,336.86
1981,11,29905,1981.874,338.36
1981,12,29935,1981.9562,339.61
1982,1,29966,1982.0411,340.75
1982,2,29997,1982.126,341.61
1982,3,30025,1982.2027,342.7
1982,4,30056,1982.2877,343.57
1982,5,30086,1982.3699,344.14
1982,6,30117,1982.4548,343.35
1982,7,30147,1982.537,342.06
1982,8,30178,1982.6219,339.81
1982,9,30209,1982.7068,337.98
1982,10,30239,1982.789,337.86
1982,11,30270,1982.874,339.26
1982,12,30300,1982.9562,340.49
1983,1,30331,1983.0411,341.38
1983,2,30362,1983.126,342.52
1983,3,30390,1983.2027,343.1
1983,4,30421,1983.2877,344.94
1983,5,30451,1983.3699,345.76
1983,6,30482,1983.4548,345.32
1983,7,30512,1983.537,343.98
1983,8,30543,1983.6219,342.38
1983,9,30574,1983.7068,339.86
1983,10,30604,1983.789,339.99
1983,11,30635,1983.874,341.15
1983,12,30665,1983.9562,342.99
1984,1,30696,1984.041,343.7
1984,2,30727,1984.1257,344.5
1984,3,30756,1984.2049,345.28
1984,4,30787,1984.2896,347.05
1984,5,30817,1984.3716,347.43
1984,6,30848,1984.4563,346.8
1984,7,30878,1984.5383,345.39
1984,8,30909,1984.623,343.28
1984,9,30940,1984.7077,341.07
1984,10,30970,1984.7896,341.35
1984,11,31001,1984.8743,342.98
1984,12,31031,1984.9563,344.22
1985,1,31062,1985.0411,344.97
1985,2,31093,1985.126,345.99
1985,3,31121,1985.2027,347.42
1985,4,31152,1985.2877,348.35
1985,5,31182,1985.3699,348.93
1985,6,31213,1985.4548,348.25
1985,7,31243,1985.537,346.56
1985,8,31274,1985.6219,344.67
1985,9,31305,1985.7068,343.09
1985,10,31335,1985.789,342.8
1985,11,31366,1985.874,344.24
1985,12,31396,1985.9562,345.56
1986,1,31427,1986.0411,346.3
1986,2,31458,1986.126,346.95
1986,3,31486,1986.2027,347.85
1986,4,31517,1986.2877,349.55
1986,5,31547,1986.3699,350.21
1986,6,31578,1986.4548,349.55
1986,7,31608,1986.537,347.94
1986,8,31639,1986.6219,345.9
1986,9,31670,1986.7068,344.85
1986,10,31700,1986.789,344.17
1986,11,31731,1986.874,345.66
1986,12,31761,1986.9562,346.9
1987,1,31792,1987.0411,348.02
1987,2,31823,1987.126,348.48
1987,3,31851,1987.2027,349.42
1987,4,31882,1987.2877,350.98
1987,5,31912,1987.3699,351.85
1987,6,31943,1987.4548,351.26
1987,7,31973,1987.537,349.51
1987,8,32004,1987.6219,348.1
1987,9,32035,1987.7068,346.44
1987,10,32065,1987.789,346.36
1987,11,32096,1987.874,347.81
1987,12,32126,1987.9562,348.96
1988,1,32157,1988.041,350.43
1988,2,32188,1988.1257,351.73
1988,3,32217,1988.2049,352.22
1988,4,32248,1988.2896,353.59
1988,5,32278,1988.3716,354.22
1988,6,32309,1988.4563,353.79
1988,7,32339,1988.5383,352.38
1988,8,32370,1988.623,350.43
1988,9,32401,1988.7077,348.73
1988,10,32431,1988.7896,348.88
1988,11,32462,1988.8743,350.07
1988,12,32492,1988.9563,351.34
1989,1,32523,1989.0411,352.76
1989,2,32554,1989.126,353.07
1989,3,32582,1989.2027,353.68
1989,4,32613,1989.2877,355.42
1989,5,32643,1989.3699,355.67
1989,6,32674,1989.4548,355.12
1989,7,32704,1989.537,353.9
1989,8,32735,1989.6219,351.67
1989,9,32766,1989.7068,349.8
1989,10,32796,1989.789,349.99
1989,11,32827,1989.874,351.3
1989,12,32857,1989.9562,352.52
1990,1,32888,1990.0411,353.66
1990,2,32919,1990.126,354.7
1990,3,32947,1990.2027,355.38
1990,4,32978,1990.2877,356.2
1990,5,33008,1990.3699,357.16
1990,6,33039,1990.4548,356.23
1990,7,33069,1990.537,354.81
1990,8,33100,1990.6219,352.91
1990,9,33131,1990.7068,350.96
1990,10,33161,1990.789,351.18
1990,11,33192,1990.874,352.83
1990,12,33222,1990.9562,354.21
1991,1,33253,1991.0411,354.72
1991,2,33284,1991.126,355.75
1991,3,33312,1991.2027,357.16
1991,4,33343,1991.2877,358.6
1991,5,33373,1991.3699,359.34
1991,6,33404,1991.4548,358.24
1991,7,33434,1991.537,356.17
1991,8,33465,1991.6219,354.02
1991,9,33496,1991.7068,352.15
1991,10,33526,1991.789,352.21
1991,11,33557,1991.874,353.75
1991,12,33587,1991.9562,354.99
1992,1,33618,1992.041,355.99
1992,2,33649,1992.1257,356.72
1992,3,33678,1992.2049,357.81
1992,4,33709,1992.2896,359.15
1992,5,33739,1992.3716,359.66
1992,6,33770,1992.4563,359.25
1992,7,33800,1992.5383,357.02
1992,8,33831,1992.623,355
1992,9,33862,1992.7077,353.01
1992,10,33892,1992.7896,353.31
1992,11,33923,1992.8743,354.16
1992,12,33953,1992.9563,355.4
1993,1,33984,1993.0411,356.7
1993,2,34015,1993.126,357.17
1993,3,34043,1993.2027,358.38
1993,4,34074,1993.2877,359.46
1993,5,34104,1993.3699,360.28
1993,6,34135,1993.4548,359.6
1993,7,34165,1993.537,357.57
1993,8,34196,1993.6219,355.52
1993,9,34227,1993.7068,353.69
1993,10,34257,1993.789,353.99
1993,11,34288,1993.874,355.34
1993,12,34318,1993.9562,356.8
1994,1,34349,1994.0411,358.37
1994,2,34380,1994.126,358.91
1994,3,34408,1994.2027,359.97
1994,4,34439,1994.2877,361.26
1994,5,34469,1994.3699,361.69
1994,6,34500,1994.4548,360.94
1994,7,34530,1994.537,359.55
1994,8,34561,1994.6219,357.48
1994,9,34592,1994.7068,355.84
1994,10,34622,1994.789,356
1994,11,34653,1994.874,357.58
1994,12,34683,1994.9562,359.04
1995,1,34714,1995.0411,359.97
1995,2,34745,1995.126,361
1995,3,34773,1995.2027,361.63
1995,4,34804,1995.2877,363.45
1995,5,34834,1995.3699,363.8
1995,6,34865,1995.4548,363.26
1995,7,34895,1995.537,361.89
1995,8,34926,1995.6219,359.45
1995,9,34957,1995.7068,358.05
1995,10,34987,1995.789,357.75
1995,11,35018,1995.874,359.56
1995,12,35048,1995.9562,360.7
1996,1,35079,1996.041,362.05
1996,2,35110,1996.1257,363.24
1996,3,35139,1996.2049,364.02
1996,4,35170,1996.2896,364.71
1996,5,35200,1996.3716,365.42
1996,6,35231,1996.4563,364.97
1996,7,35261,1996.5383,363.65
1996,8,35292,1996.623,361.48
1996,9,35323,1996.7077,359.45
1996,10,35353,1996.7896,359.61
1996,11,35384,1996.8743,360.76
1996,12,35414,1996.9563,362.33
1997,1,35445,1997.0411,363.18
1997,2,35476,1997.126,363.99
1997,3,35504,1997.2027,364.56
1997,4,35535,1997.2877,366.36
1997,5,35565,1997.3699,366.8
1997,6,35596,1997.4548,365.63
1997,7,35626,1997.537,364.47
1997,8,35657,1997.6219,362.5
1997,9,35688,1997.7068,360.19
1997,10,35718,1997.789,360.78
1997,11,35749,1997.874,362.43
1997,12,35779,1997.9562,364.28
1998,1,35810,1998.0411,365.33
1998,2,35841,1998.126,366.15
1998,3,35869,1998.2027,367.31
1998,4,35900,1998.2877,368.61
1998,5,35930,1998.3699,369.3
1998,6,35961,1998.4548,368.88
1998,7,35991,1998.537,367.64
1998,8,36022,1998.6219,365.78
1998,9,36053,1998.7068,363.9
1998,10,36083,1998.789,364.23
1998,11,36114,1998.874,365.46
1998,12,36144,1998.9562,366.97
1999,1,36175,1999.0411,368.15
1999,2,36206,1999.126,368.87
1999,3,36234,1999.2027,369.59
1999,4,36265,1999.2877,371.14
1999,5,36295,1999.3699,371
1999,6,36326,1999.4548,370.35
1999,7,36356,1999.537,369.27
1999,8,36387,1999.6219,366.93
1999,9,36418,1999.7068,364.64
1999,10,36448,1999.789,365.13
1999,11,36479,1999.874,366.68
1999,12,36509,1999.9562,368
2000,1,36540,2000.041,369.14
2000,2,36571,2000.1257,369.46
2000,3,36600,2000.2049,370.51
2000,4,36631,2000.2896,371.66
2000,5,36661,2000.3716,371.83
2000,6,36692,2000.4563,371.69
2000,7,36722,2000.5383,370.12
2000,8,36753,2000.623,368.12
2000,9,36784,2000.7077,366.62
2000,10,36814,2000.7896,366.73
2000,11,36845,2000.8743,368.29
2000,12,36875,2000.9563,369.53
2001,1,36906,2001.0411,370.28
2001,2,36937,2001.126,371.5
2001,3,36965,2001.2027,372.12
2001,4,36996,2001.2877,372.86
2001,5,37026,2001.3699,374.02
2001,6,37057,2001.4548,373.31
2001,7,37087,2001.537,371.62
2001,8,37118,2001.6219,369.55
2001,9,37149,2001.7068,367.96
2001,10,37179,2001.789,368.09
2001,11,37210,2001.874,369.68
2001,12,37240,2001.9562,371.24
2002,1,37271,2002.0411,372.44
2002,2,37302,2002.126,373.08
2002,3,37330,2002.2027,373.52
2002,4,37361,2002.2877,374.85
2002,5,37391,2002.3699,375.55
2002,6,37422,2002.4548,375.4
2002,7,37452,2002.537,374.02
2002,8,37483,2002.6219,371.48
2002,9,37514,2002.7068,370.7
2002,10,37544,2002.789,370.25
2002,11,37575,2002.874,372.08
2002,12,37605,2002.9562,373.78
2003,1,37636,2003.0411,374.68
2003,2,37667,2003.126,375.62
2003,3,37695,2003.2027,376.11
2003,4,37726,2003.2877,377.65
2003,5,37756,2003.3699,378.35
2003,6,37787,2003.4548,378.13
2003,7,37817,2003.537,376.61
2003,8,37848,2003.6219,374.48
2003,9,37879,2003.7068,372.98
2003,10,37909,2003.789,373
2003,11,37940,2003.874,374.35
2003,12,37970,2003.9562,375.69
2004,1,38001,2004.041,376.79
2004,2,38032,2004.1257,377.37
2004,3,38061,2004.2049,378.39
2004,4,38092,2004.2896,380.5
2004,5,38122,2004.3716,380.62
2004,6,38153,2004.4563,379.55
2004,7,38183,2004.5383,377.76
2004,8,38214,2004.623,375.83
2004,9,38245,2004.7077,374.05
2004,10,38275,2004.7896,374.22
2004,11,38306,2004.8743,375.84
2004,12,38336,2004.9563,377.44
2005,1,38367,2005.0411,378.34
2005,2,38398,2005.126,379.61
2005,3,38426,2005.2027,380.08
2005,4,38457,2005.2877,382.05
2005,5,38487,2005.3699,382.24
2005,6,38518,2005.4548,382.08
2005,7,38548,2005.537,380.66
2005,8,38579,2005.6219,378.67
2005,9,38610,2005.7068,376.42
2005,10,38640,2005.789,376.8
2005,11,38671,2005.874,378.31
2005,12,38701,2005.9562,379.96
2006,1,38732,2006.0411,381.37
2006,2,38763,2006.126,382.02
2006,3,38791,2006.2027,382.56
2006,4,38822,2006.2877,384.36
2006,5,38852,2006.3699,384.92
2006,6,38883,2006.4548,384.03
2006,7,38913,2006.537,382.28
2006,8,38944,2006.6219,380.48
2006,9,38975,2006.7068,378.81
2006,10,39005,2006.789,379.06
2006,11,39036,2006.874,380.14
2006,12,39066,2006.9562,381.66
2007,1,39097,2007.0411,382.58
2007,2,39128,2007.126,383.71
2007,3,39156,2007.2027,384.34
2007,4,39187,2007.2877,386.23
2007,5,39217,2007.3699,386.41
2007,6,39248,2007.4548,385.87
2007,7,39278,2007.537,384.44
2007,8,39309,2007.6219,381.84
2007,9,39340,2007.7068,380.86
2007,10,39370,2007.789,380.86
2007,11,39401,2007.874,382.36
2007,12,39431,2007.9562,383.61
2008,1,39462,2008.041,385.07
2008,2,39493,2008.1257,385.84
2008,3,39522,2008.2049,385.83
2008,4,39553,2008.2896,386.77
2008,5,39583,2008.3716,388.51
2008,6,39614,2008.4563,388.05
2008,7,39644,2008.5383,386.25
2008,8,39675,2008.623,384.08
2008,9,39706,2008.7077,383.09
2008,10,39736,2008.7896,382.78
2008,11,39767,2008.8743,384.01
2008,12,39797,2008.9563,385.11
2009,1,39828,2009.0411,386.65
2009,2,39859,2009.126,387.12
2009,3,39887,2009.2027,388.52
2009,4,39918,2009.2877,389.57
2009,5,39948,2009.3699,390.17
2009,6,39979,2009.4548,389.62
2009,7,40009,2009.537,388.07
2009,8,40040,2009.6219,386.08
2009,9,40071,2009.7068,384.65
2009,10,40101,2009.789,384.33
2009,11,40132,2009.874,386.05
2009,12,40162,2009.9562,387.49
2010,1,40193,2010.0411,388.55
2010,2,40224,2010.126,390.07
2010,3,40252,2010.2027,391.01
2010,4,40283,2010.2877,392.38
2010,5,40313,2010.3699,393.22
2010,6,40344,2010.4548,392.24
2010,7,40374,2010.537,390.33
2010,8,40405,2010.6219,388.52
2010,9,40436,2010.7068,386.84
2010,10,40466,2010.789,387.16
2010,11,40497,2010.874,388.67
2010,12,40527,2010.9562,389.81
2011,1,40558,2011.0411,391.3
2011,2,40589,2011.126,391.92
2011,3,40617,2011.2027,392.45
2011,4,40648,2011.2877,393.37
2011,5,40678,2011.3699,394.28
2011,6,40709,2011.4548,393.69
2011,7,40739,2011.537,392.59
2011,8,40770,2011.6219,390.21
2011,9,40801,2011.7068,389
2011,10,40831,2011.789,388.93
2011,11,40862,2011.874,390.24
2011,12,40892,2011.9562,391.8
2012,1,40923,2012.041,393.07
2012,2,40954,2012.1257,393.35
2012,3,40983,2012.2049,394.36
2012,4,41014,2012.2896,396.43
2012,5,41044,2012.3716,396.87
2012,6,41075,2012.4563,395.88
2012,7,41105,2012.5383,394.52
2012,8,41136,2012.623,392.54
2012,9,41167,2012.7077,391.13
2012,10,41197,2012.7896,391.01
2012,11,41228,2012.8743,392.95
2012,12,41258,2012.9563,394.33
2013,1,41289,2013.0411,395.61
2013,2,41320,2013.126,396.85
2013,3,41348,2013.2027,397.26
2013,4,41379,2013.2877,398.35
2013,5,41409,2013.3699,399.98
2013,6,41440,2013.4548,398.87
2013,7,41470,2013.537,397.37
2013,8,41501,2013.6219,395.41
2013,9,41532,2013.7068,393.39
2013,10,41562,2013.789,393.7
2013,11,41593,2013.874,395.19
2013,12,41623,2013.9562,396.82
2014,1,41654,2014.0411,397.93
2014,2,41685,2014.126,398.1
2014,3,41713,2014.2027,399.47
2014,4,41744,2014.2877,401.33
2014,5,41774,2014.3699,401.88
2014,6,41805,2014.4548,401.31
2014,7,41835,2014.537,399.07
2014,8,41866,2014.6219,397.21
2014,9,41897,2014.7068,395.4
2014,10,41927,2014.789,395.65
2014,11,41958,2014.874,397.23
2014,12,41988,2014.9562,398.79
2015,1,42019,2015.0411,399.85
2015,2,42050,2015.126,400.31
2015,3,42078,2015.2027,401.51
2015,4,42109,2015.2877,403.45
2015,5,42139,2015.3699,404.1
2015,6,42170,2015.4548,402.88
2015,7,42200,2015.537,401.61
2015,8,42231,2015.6219,399
2015,9,42262,2015.7068,397.5
2015,10,42292,2015.789,398.28
2015,11,42323,2015.874,400.24
2015,12,42353,2015.9562,401.89
2016,1,42384,2016.041,402.65
2016,2,42415,2016.1257,404.16
2016,3,42444,2016.2049,404.85
2016,4,42475,2016.2896,407.57
2016,5,42505,2016.3716,407.66
2016,6,42536,2016.4563,407
2016,7,42566,2016.5383,404.5
2016,8,42597,2016.623,402.24
2016,9,42628,2016.7077,401.01
2016,10,42658,2016.7896,401.5
2016,11,42689,2016.8743,403.64
2016,12,42719,2016.9563,404.55
2017,1,42750,2017.0411,406.07
2017,2,42781,2017.126,406.64
2017,3,42809,2017.2027,407.06
2017,4,42840,2017.2877,408.95
2017,5,42870,2017.3699,409.91
2017,6,42901,2017.4548,409.12
2017,7,42931,2017.537,407.2
2017,8,42962,2017.6219,405.24
2017,9,42993,2017.7068,403.27
2017,10,43023,2017.789,403.64
2017,11,43054,2017.874,405.17
2017,12,43084,2017.9562,406.75
2018,1,43115,2018.0411,408.05
2018,2,43146,2018.126,408.34
2018,3,43174,2018.2027,409.25
2018,4,43205,2018.2877,410.3
2018,5,43235,2018.3699,411.3
2018,6,43266,2018.4548,410.88
2018,7,43296,2018.537,408.9
2018,8,43327,2018.6219,407.1
2018,9,43358,2018.7068,405.59
2018,10,43388,2018.789,405.99
2018,11,43419,2018.874,408.12
2018,12,43449,2018.9562,409.23
2019,1,43480,2019.0411,410.92
2019,2,43511,2019.126,411.66
2019,3,43539,2019.2027,412
2019,4,43570,2019.2877,413.51
2019,5,43600,2019.3699,414.83
2019,6,43631,2019.4548,-99.99
2019,7,43661,2019.537,-99.99
2019,8,43692,2019.6219,-99.99
2019,9,43723,2019.7068,-99.99
2019,10,43753,2019.789,-99.99
2019,11,43784,2019.874,-99.99
2019,12,43814,2019.9562,-99.99